[contents],,,,,,,,,,
count=2,,,,,,,,,,
Name=,C:\Users\nick cafferry\Desktop\CF0100.D\CF0100.D,,,,,,,,,
1=,PBM ∂•µ„,,,,,,,,,
2=,INT TIC: CF0100.D\data.ms,,,,,,,,,
[PBM ∂•µ„],,,,,,,,,,
Time=,Thu Jun 03 13:44:26 2021,,,,,,,,,
Header=,PK,RT,Area Pct,Library/ID,Ref,CAS,Qual,,,
23=,23,16.875,0.056648516,p-Cymene,2798,000099-87-6,70,,,
24=,24,16.939,0.238444297,DPG<peak2>,2798,000110-98-5,90,,,
25=,25,17.363,4.036756781,DPG<peak3>,2799,000110-98-5,86,,,
26=,26,17.442,4.366285003,Limonene,2600,000138-86-3,98,,,
27=,27,17.885,4.965764824,DPG<peak3>,2799,000110-98-5,90,,,
28=,28,19.31,1.660442373,DPG<peak4>,1929,000110-98-5,90,,,
29=,29,19.339,0.030464866,DPG<peak2>,2798,000110-98-5,72,,,
30=,30,19.804,5.214558292,Dihydro myrcenol,1848,018479-58-8,90,,,
31=,31,20.314,0.059056683,Methyl benzoate,1738,000093-58-3,91,,,
32=,32,20.991,0.122704484,iso-Terpinolene,1150,000586-62-9,96,,,
33=,33,21.435,1.944553155,±Ω““¥ºPHENYLETHYL ALCOHOL,1793,000060-12-8,86,,,
34=,34,21.489,2.214606406,Linalool,1793,000078-70-6,97,,,
35=,35,22.176,0.078171818,Rose oxide<peak1>,1755,016409-43-1,97,,,
36=,36,22.264,0.007771457,"D-Fenchyl alcohol $$ Bicyclo[2.2.1]heptan-2-ol, 1,3,3-trimethyl- (CAS)",76206,001632-73-1,72,,,
37=,37,23.243,0.010579937,—ıªØ√µπÂRose oxide,75886,016409-43-1,64,,,
38=,38,23.518,0.039894568,À…”Õœ©¥º-1TERPINENE 1-OL,2794,000586-82-3,74,,,
39=,39,23.585,0.044838259,"DIHYDRO LINALOOL $$ 6-OCTEN-3-OL, 3,7-DIMETHYL- $$ 3,7-DIMETHYLOCT-6-EN-3-OL",47021,002270-57-7,90,,,
40=,40,24.047,0.098787547,““ŒªÀ…”Õ¥º $$beta-Terpineol $,6586,000138-87-4,91,,,
41=,41,24.49,0.841373818,Benzyl acetate,2830,000140-11-4,97,,,
42=,42,24.987,0.008059414,13.99 MENTHONE<ISO->,3303,000491-07-6,93,,,
43=,43,25.215,0.035294503,““ŒªÀ…”Õ¥º $$beta-Terpineol $,44520,000138-87-4,78,,,
44=,44,25.478,0.011479008,Borneol (peak2:60%Borneol),16254,000464-45-9,78,,,
45=,45,26.048,0.026557217,dl-Menthol,193,015356-70-4,87,,,
46=,46,26.428,0.44936796,Allyl heptylate,2485,000142-19-8,91,,,
47=,47,27.042,0.615201029,alpha-Terpineol,1744,000098-55-5,90,,,
48=,48,27.508,0.218588479,gamma-Terpineol,2181,000586-81-2,97,,,
49=,49,27.77,0.024793959,Dimethyl octanol,2002,000106-21-8,83,,,
50=,50,29.027,0.052384875, ÆÀƒÕÈ$ n-Tetradecane $$ Isotetradecane,7444,000629-59-4,64,,,
51=,51,29.756,3.255228352,Citronellol,1795,000106-22-9,98,,,
52=,52,31.285,0.120645681,Geraniol,1797,000106-24-1,97,,,
53=,53,34.027,0.679112337,Verdox(1),2332,000088-41-5,91,,,
54=,54,35.265,0.08686189,Verdox(1),2332,000088-41-5,91,,,
55=,55,36.484,0.04749101,gama-Nonalactone,1727,000104-61-0,86,,,
56=,56,37.814,0.009658325,Citronellyl acetate,132538,000150-84-5,78,,,
57=,57,39.362,0.026836837,Damascenone,2761,023696-85-7,83,,,
58=,58,39.454,0.01920023,Lavandulyl acetate,10359,025905-14-0,80,,,
59=,59,40.397,0.016997899,Isoeugenol<peak2>,2553,000097-54-1,92,,,
60=,60,41.195,0.121933507,Aldehyde C12(Dodecanal),2460,000112-54-9,87,,,
61=,61,41.879,0.408126442,Allyl cyclohexyl propionate,2484,002705-87-5,95,,,
62=,62,42.145,0.043495653,alpha-Ionone,1733,000127-41-3,97,,,
63=,63,42.417,0.567025566,Ethyl vanillin,1823,000121-32-4,96,,,
64=,64,42.75,0.019554617,1-(4-tert-Butylphenyl)propan-2-one,156422,081561-77-5,97,,,
65=,65,42.915,0.263143441,Isoeugenol (peal2),1828,000097-54-1,98,,,
66=,66,43.238,0.326304499,gama-Decalactone,1315,000706-14-9,90,,,
67=,67,43.551,0.480247168,Cyclamen aldehyde,314,000103-95-7,97,,,
68=,68,43.706,0.163244863,Ebanol<peak1>,2801,067801-20-1,95,,,
69=,69,44.235,0.179269825,Ebanol<peak1>,1101,067801-20-1,99,,,
70=,70,45.676,2.107090414,Isomethyl ionone,1962,000127-51-5,97,,,
71=,71,46.024,0.123402052,Dimethyl benzyl carbinyl butyrate,2785,010094-34-5,91,,,
72=,72,46.622,0.037472478,Tricyclodecenyl acetate,1110,002500-83-6,45,,,
73=,73,46.85,0.112808192,º◊ª˘¶ƒ-◊œ¬ﬁ¿ºÕ™.beta. ISO METHYL IONONE,9368,000079-89-0,90,,,
74=,74,46.999,1.12825603,Phenoxy ethyl isobutyrate,1897,000103-60-6,97,,,
75=,75,47.42,1.624309795,Tricyclodecenyl propionate,26,017511-60-3,98,,,
76=,76,47.702,7.724791902,Lilial,8,000080-54-6,99,,,
77=,77,47.835,0.601288373,.ALPHA.-N-METHYL IONONE,14513,000127-42-4,99,,,
78=,78,48.148,0.077071185,±˚À·»˝ª∑πÔœ©ı•(V)Tricyclodecenyl Propionate;  Verdyl Propionate; Cyclaprop,14588,017511-60-3,97,,,
79=,79,48.31,0.816775379,Frambinon,1041,005471-51-2,97,,,
80=,80,49.314,2.402413138,Rose acetate,1384,000090-17-5,91,,,
81=,81,49.671,1.316078441,gama-Undecalactone,1305,000104-67-6,91,,,
82=,82,51.099,0.236246884,beta-Methyl ionone,2347,000127-43-5,96,,,
83=,83,54.038,0.017032771,Hexyl salicylate,14743,006259-76-3,68,,,
84=,84,54.703,3.126753672,Methyl dihydrojasmonate,1621,024851-98-7,98,,,
85=,85,55.393,0.066703898,º—¿÷˜Íœ„Galaxolide (I) ; º—¿÷˜Íœ„÷–‘”÷ ∑Â27.17min,14418,001222-05-5,70,,,
86=,86,56.146,0.455601398,Methyl dihydrojasmonate,1622,024851-98-7,98,,,
87=,87,56.723,6.951686361,Hexyl salicylate,1766,000054-17-0,96,,,
88=,88,57.571,0.019811473,Dihydro methyl jasmonate $$ METHYLDIHYDROJASMONATE $$ Methyl dihydrojasmonate,255445,024851-98-7,35,,,
89=,89,58.638,0.072839723,Superfix,2044,003910-35-8,93,,,
90=,90,60.148,7.845917581,HCA,5,000101-86-0,99,,,
91=,91,61.158,0.87755279,Ambrox DL<Peak3>,2498,003738-00-9,70,,,
92=,92,61.402,0.474096519,HCA,327,000101-86-0,99,,,
93=,93,61.719,0.117893536,"2-Decenal, 2-hexyl- $$ 2-HEXYL-2-DECENAL",14780,013893-39-5,99,,,
94=,94,63.837,0.72902614,º—¿÷˜Íœ„Galaxolide (IV) ; º—¿÷˜Íœ„÷–“ÏππÃÂ∑Â 30.98min,14420,001222-05-5,99,,,
95=,95,64.008,0.721876031,º—¿÷˜Íœ„Galaxolide (IV) ; º—¿÷˜Íœ„÷–“ÏππÃÂ∑Â 30.98min,14420,001222-05-5,99,,,
96=,96,65.781,9.475725154,Abbalide,1362,001222-05-5,99,,,
97=,97,66.234,0.311145574,Abbalide,1362,001222-05-5,95,,,
98=,98,66.95,0.335435493,Abbalide,3216,001222-05-5,97,,,
99=,99,67.203,0.30710736,Abbalide,3216,001222-05-5,96,,,
100=,100,67.69,1.326741355,±Ω““À·±Ω““ı•$ Phenylethyl phenylacetate $$ 2-,10050,000102-20-5,64,,,
101=,101,68.229,0.433698158,Abbalide,3216,001222-05-5,98,,,
102=,102,69.308,0.060361969,"2-Hydroxy-12-methoxy-19-norpodocarpa-1,8,11,13-tetraen-3-one",388060,998388-06-0,83,,,
103=,103,70.749,0.610469041,Musk ketone,1890,000081-14-1,99,,,
[INT TIC: CF0100.D\data.ms],,,,,,,,,,
Time=,Thu Jun 03 18:05:25 2021,,,,,,,,,
Header=,Peak,R.T.,First,Max,Last,PK  TY,Height,Area,Pct Max,Pct Total
1=,1,5.923,255,265,278,  M2,69460,1481668,0.18,0.017
2=,2,6.753,516,527,541,  M3,21150,470282,0.06,0.006
3=,3,8.057,924,939,956,  M3,60265,1469138,0.18,0.017
4=,4,8.401,1032,1048,1062,  M4,53532,1337230,0.17,0.016
5=,5,8.511,1069,1082,1104,  M2,69697,1981068,0.24,0.023
6=,6,9.078,1199,1261,1303,BB  ,8931237,429588144,53.09,5.03
7=,7,9.472,1373,1386,1404,  M3,14660,388272,0.05,0.005
8=,8,10.285,1629,1643,1657,  M2,40856,965075,0.12,0.011
9=,9,11.018,1861,1874,1892,  M3,63637,1575286,0.19,0.018
10=,10,11.924,2140,2160,2182,  M3,83238,2332319,0.29,0.027
11=,11,12.45,2307,2326,2345,  M2,117748,3342563,0.41,0.039
12=,12,13,2476,2500,2511,  M10,18675,461413,0.06,0.005
13=,13,13.096,2511,2530,2557,VB 3,404830,12071430,1.49,0.141
14=,14,14.255,2878,2896,2916,  M2,31058,933338,0.12,0.011
15=,15,14.489,2956,2970,2989,  M3,31649,963638,0.12,0.011
16=,16,15.068,3134,3153,3168,  M5,62452,1826770,0.23,0.021
17=,17,15.171,3170,3186,3212,VB 3,159196,4919247,0.61,0.058
18=,18,15.42,3238,3264,3297,BB  ,295689,9187780,1.14,0.108
19=,19,16.339,3360,3555,3564,  M4,2192588,550212499,67.99,6.443
20=,20,16.372,3565,3565,3580,  M4,2120941,65039690,8.04,0.762
21=,21,16.424,3581,3581,3602,  M2,2156760,19893463,2.46,0.233
22=,22,16.678,3642,3662,3681,  M4,112981,3724661,0.46,0.044
23=,23,16.877,3694,3724,3725,  M2,181122,4837678,0.6,0.057
24=,24,16.938,3725,3744,3753,  M3,499243,20362700,2.52,0.238
25=,25,17.363,3753,3878,3879,  M ,2686267,344731530,42.6,4.037
26=,26,17.442,3879,3903,3921,  M3,8066255,372872628,46.08,4.366
27=,27,17.885,3923,4043,4098,VB  ,2702597,424067091,52.41,4.966
28=,28,19.31,4395,4493,4502,  M ,1291827,141798694,17.52,1.66
29=,29,19.339,4502,4502,4530,  M9,113702,2601643,0.32,0.03
30=,30,19.806,4553,4649,4698,VB 2,6840861,445313591,55.03,5.215
31=,31,20.313,4777,4810,4839,BB 2,139540,5043331,0.62,0.059
32=,32,20.991,4992,5024,5052,BB 5,295434,10478735,1.29,0.123
33=,33,21.435,5099,5164,5165,  M2,3078923,166061227,20.52,1.945
34=,34,21.488,5166,5181,5196,  M3,5259505,189123273,23.37,2.215
35=,35,22.176,5366,5398,5416,BV 2,208327,6675728,0.82,0.078
36=,36,22.264,5417,5426,5438,  M10,28081,663668,0.08,0.008
37=,37,23.242,5710,5735,5752,  M5,26132,903507,0.11,0.011
38=,38,23.518,5801,5822,5833,  M6,93988,3406922,0.42,0.04
39=,39,23.585,5834,5843,5873,  M5,102010,3829104,0.47,0.045
40=,40,24.047,5954,5989,6019,BB 4,223303,8436273,1.04,0.099
41=,41,24.49,6077,6129,6184,BB 3,1818901,71851761,8.88,0.841
42=,42,24.988,6252,6286,6301,  M3,18403,688259,0.09,0.008
43=,43,25.214,6339,6358,6378,  M8,86359,3014085,0.37,0.035
44=,44,25.477,6420,6441,6456,  M3,30859,980286,0.12,0.011
45=,45,26.049,6600,6621,6643,  M6,66364,2267937,0.28,0.027
46=,46,26.428,6713,6741,6782,BB 2,1015712,38375189,4.74,0.449
47=,47,27.043,6897,6935,6981,BB 4,1366251,52537025,6.49,0.615
48=,48,27.509,7045,7082,7120,BB 4,480813,18667050,2.31,0.219
49=,49,27.77,7145,7165,7195,  M3,53903,2117358,0.26,0.025
50=,50,29.027,7520,7562,7584,  M7,72730,4473571,0.55,0.052
51=,51,29.755,7718,7792,7855,BB 4,4360602,277990454,34.35,3.255
52=,52,31.286,8239,8275,8316,BB 3,251648,10302917,1.27,0.121
53=,53,34.026,9090,9141,9169,BV 3,1181245,57994932,7.17,0.679
54=,54,35.264,9496,9532,9566,BB 4,179720,7417844,0.92,0.087
55=,55,36.484,9893,9917,9948,  M ,102489,4055644,0.5,0.047
56=,56,37.813,10317,10337,10351,  M8,21831,824803,0.1,0.01
57=,57,39.361,10804,10826,10842,  M4,60197,2291816,0.28,0.027
58=,58,39.454,10843,10855,10877,  M7,44185,1639664,0.2,0.019
59=,59,40.397,11127,11153,11184,  M5,33759,1451589,0.18,0.017
60=,60,41.196,11369,11405,11441,BB 8,257048,10412895,1.29,0.122
61=,61,41.879,11577,11621,11660,BB 7,813743,34853240,4.31,0.408
62=,62,42.144,11688,11705,11728,  M4,93487,3714448,0.46,0.043
63=,63,42.416,11747,11791,11843,BB  ,1070743,48422930,5.98,0.567
64=,64,42.749,11874,11896,11913,  M5,44489,1669928,0.21,0.02
65=,65,42.916,11917,11948,11982,PV 2,530484,22471961,2.78,0.263
66=,66,43.237,12011,12050,12086,BV  ,640411,27865798,3.44,0.326
67=,67,43.551,12086,12149,12173,PV 2,944091,41012216,5.07,0.48
68=,68,43.708,12173,12198,12246,VB 8,235773,13940808,1.72,0.163
69=,69,44.235,12321,12365,12416,BB 7,295085,15309310,1.89,0.179
70=,70,45.676,12767,12820,12856,BV 3,3403293,179941607,22.24,2.107
71=,71,46.024,12899,12930,12970,BB 2,247996,10538306,1.3,0.123
72=,72,46.622,13092,13119,13149,  M7,64296,3200080,0.4,0.037
73=,73,46.85,13153,13191,13205,BV 2,232518,9633610,1.19,0.113
74=,74,46.998,13205,13238,13276,VB 2,1993838,96350969,11.91,1.128
75=,75,47.421,13285,13371,13397,BV 4,2359706,138713039,17.14,1.624
76=,76,47.701,13397,13460,13478,VV  ,9549918,659682878,81.52,7.725
77=,77,47.835,13478,13502,13568,VB  ,1159258,51348910,6.35,0.601
78=,78,48.15,13573,13601,13614,BV 3,176036,6581736,0.81,0.077
79=,79,48.311,13614,13652,13706,VB 2,1330241,69751100,8.62,0.817
80=,80,49.312,13913,13969,14013,BB 2,4110371,205161619,25.35,2.402
81=,81,49.67,14022,14082,14126,BB  ,2050054,112390654,13.89,1.316
82=,82,51.1,14493,14533,14575,BB  ,483468,20175045,2.49,0.236
83=,83,54.037,15442,15461,15487,  M4,37873,1454567,0.18,0.017
84=,84,54.703,15606,15671,15713,BB 2,4600316,267018955,33,3.127
85=,85,55.393,15850,15889,15914,  M2,77813,5696389,0.7,0.067
86=,86,56.146,16073,16127,16174,BB 2,775419,38907513,4.81,0.456
87=,87,56.723,16223,16309,16385,BB 2,8485347,593661101,73.36,6.952
88=,88,57.571,16553,16577,16604,  M5,42114,1691863,0.21,0.02
89=,89,58.639,16882,16914,16949,  M5,103308,6220377,0.77,0.073
90=,90,60.15,17298,17391,17439,BV  ,9251574,670026786,82.8,7.846
91=,91,61.16,17635,17710,17750,BV  ,1508049,74941378,9.26,0.878
92=,92,61.402,17750,17787,17832,PB 5,888117,40486962,5,0.474
93=,93,61.72,17843,17887,17922,BB 7,234046,10067889,1.24,0.118
94=,94,63.837,18503,18556,18583,BV 2,1255113,62257478,7.69,0.729
95=,95,64.01,18583,18610,18655,VB  ,1353756,61646872,7.62,0.722
96=,96,65.78,19048,19170,19239,BB 2,9130735,809209325,100,9.476
97=,97,66.233,19269,19313,19357,BB 3,569077,26571254,3.28,0.311
98=,98,66.95,19495,19539,19581,BB  ,628870,28645568,3.54,0.335
99=,99,67.204,19585,19619,19652,BB 3,568818,26226398,3.24,0.307
100=,100,67.689,19710,19773,19833,BB  ,1913694,113301247,14,1.327
101=,101,68.229,19872,19943,19980,BV  ,817262,37037017,4.58,0.434
102=,102,69.308,20235,20284,20308,BV  ,116513,5154800,0.64,0.06
103=,103,70.748,20681,20739,20782,BB 2,1118039,52132922,6.44,0.61
