[contents],,,,,,,,,,
count=2,,,,,,,,,,
Name=,C:\Users\nick cafferry\Desktop\CF0105.D,,,,,,,,,
1=,PBM ∂•µ„,,,,,,,,,
2=,INT TIC: CF0105.D\data.ms,,,,,,,,,
[PBM ∂•µ„],,,,,,,,,,
Time=,Wed Jun 02 09:39:36 2021,,,,,,,,,
Header=,PK,RT,Area Pct,Library/ID,Ref,CAS,Qual,,,
131=,131,65.821,10.639,Abbalide,,001222-05-5,98,,,
132=,132,66.250,0.239,"PHANTOLIDE $$ 1-(1,1,2,3,3,6-HEXAMETHYL-INDAN-5-YL)-ETHANONE",,015323-35-0,99,,,
133=,133,66.963,0.314,Abbalide,,001222-05-5,96,,,
134=,134,67.218,0.250,Abbalide,,001222-05-5,96,,,
135=,135,67.675,0.419,Abbalide,,001222-05-5,98,,,
136=,136,68.233,0.395,Abbalide,,001222-05-5,98,,,
137=,137,72.872,1.023,Musk T,,000105-95-3,99,,,
138=,138,79.700,0.085,º—¿÷˜Íœ„Galaxolide (XII) ; º—¿÷˜Íœ„÷–‘”÷ ∑Â 37.25 min,,001222-05-5,91,,,
[INT TIC: CF0105.D\data.ms],,,,,,,,,,
Time=,Wed Jun 02 12:16:18 2021,,,,,,,,,
Header=,Peak,R.T.,First,Max,Last,PK  TY,Height,Area,Pct Max,Pct Total
1=,1,7.177,643,661,677,  M ,102488,2373153,0.2,0.023
2=,2,8.072,931,944,957,  M4,52922,1275003,0.11,0.013
3=,3,9.092,1205,1266,1308,BB  ,9199969,429998753,36.43,4.257
4=,4,10.299,1634,1647,1663,  M ,43999,1129181,0.1,0.011
5=,5,12.108,2192,2218,2239,BV 3,136121,3804288,0.32,0.038
6=,6,12.341,2277,2292,2306,  M4,27373,678438,0.06,0.007
7=,7,12.476,2314,2335,2348,  M2,101300,2885725,0.24,0.029
8=,8,14.277,2883,2903,2921,  M3,98048,2989730,0.25,0.03
9=,9,14.519,2958,2980,3001,  M3,67504,1969873,0.17,0.019
10=,10,15.137,3141,3175,3208,  M6,120801,5781630,0.49,0.057
11=,11,15.797,3355,3383,3393,BV 3,253429,8751813,0.74,0.087
12=,12,15.861,3393,3404,3436,VB 2,300759,9827859,0.83,0.097
13=,13,16.078,3457,3472,3487,  M4,29503,809932,0.07,0.008
14=,14,16.805,3674,3702,3729,BV  ,311954,11698954,0.99,0.116
15=,15,16.94,3731,3745,3764,  M2,84580,3012814,0.26,0.03
16=,16,17.069,3765,3785,3822,VB 2,325885,11503086,0.97,0.114
17=,17,17.422,3882,3897,3909,  M2,22309,629760,0.05,0.006
18=,18,18.74,4302,4313,4340,  M2,75292,2409120,0.2,0.024
19=,19,19.469,4519,4543,4574,  M2,46742,2189054,0.19,0.022
20=,20,20.445,4830,4852,4877,  M3,91451,3229560,0.27,0.032
21=,21,21.102,5043,5059,5083,  M3,78363,2776683,0.24,0.027
22=,22,21.254,5085,5107,5124,  M2,83098,2591337,0.22,0.026
23=,23,21.415,5126,5158,5197,VB 3,2487169,97056312,8.22,0.961
24=,24,22.362,5421,5457,5501,BB 2,694734,25634356,2.17,0.254
25=,25,23.495,5793,5815,5825,  M6,56147,1755520,0.15,0.017
26=,26,23.565,5829,5837,5871,  M5,38284,1297914,0.11,0.013
27=,27,24.025,5950,5982,6017,BB 7,140519,5299637,0.45,0.052
28=,28,24.481,6106,6126,6143,  M9,24003,871931,0.07,0.009
29=,29,24.905,6240,6260,6287,  M3,49630,1832005,0.16,0.018
30=,30,25.204,6337,6354,6376,  M3,53619,1916887,0.16,0.019
31=,31,25.465,6413,6437,6465,  M ,101907,3765102,0.32,0.037
32=,32,26.306,6679,6702,6724,  M10,30677,1092044,0.09,0.011
33=,33,26.637,6778,6807,6835,BV 4,240480,9503915,0.81,0.094
34=,34,26.811,6835,6862,6893,VB 5,233517,9164400,0.78,0.091
35=,35,27.034,6900,6932,6974,BV 4,913741,36565608,3.1,0.362
36=,36,27.269,6974,7007,7045,VB 4,1261729,52368997,4.44,0.518
37=,37,27.516,7055,7085,7102,BV 3,287182,11515371,0.98,0.114
38=,38,27.631,7102,7121,7154,VB 3,375422,14552554,1.23,0.144
39=,39,28.403,7302,7365,7416,BB  ,3654633,188602459,15.98,1.867
40=,40,29.051,7541,7569,7594,  M4,69180,2626590,0.22,0.026
41=,41,29.681,7735,7769,7811,BV 3,387060,15783948,1.34,0.156
42=,42,29.987,7846,7865,7893,  M4,61137,2283126,0.19,0.023
43=,43,31.279,8251,8273,8313,  M2,53507,2165551,0.18,0.021
44=,44,32.487,8621,8655,8691,BB 6,139182,5870250,0.5,0.058
45=,45,32.664,8694,8711,8729,  M3,41104,1326728,0.11,0.013
46=,46,33.072,8805,8839,8878,BB 4,233032,9315286,0.79,0.092
47=,47,33.611,8984,9010,9061,  M8,47785,2719264,0.23,0.027
48=,48,34.031,9103,9142,9169,BV 3,419808,17160753,1.45,0.17
49=,49,34.16,9169,9183,9206,  M4,31961,1095710,0.09,0.011
50=,50,34.65,9308,9338,9397,BB 2,550427,25569791,2.17,0.253
51=,51,35.265,9516,9532,9556,  M6,48937,1851811,0.16,0.018
52=,52,36.504,9779,9924,9939,BV 3,8718278,1178070520,99.81,11.662
53=,53,36.649,9939,9969,10025,VB  ,10017410,601114559,50.93,5.95
54=,54,37.874,10333,10356,10385,  M8,121870,5179171,0.44,0.051
55=,55,38.801,10593,10649,10687,BV 4,3712400,188471197,15.97,1.866
56=,56,38.994,10690,10710,10735,  M3,45495,1649669,0.14,0.016
57=,57,39.504,10854,10871,10888,  M9,23861,885589,0.08,0.009
58=,58,40.095,11033,11057,11088,  M ,110419,4755505,0.4,0.047
59=,59,40.457,11147,11172,11190,  M5,41099,1521245,0.13,0.015
60=,60,40.619,11192,11223,11245,  M2,851365,37595727,3.19,0.372
61=,61,40.697,11246,11248,11276,  M9,76114,2204909,0.19,0.022
62=,62,41.921,11605,11634,11658,  M2,81911,3671792,0.31,0.036
63=,63,42.328,11720,11763,11786,BV 3,1495911,67115454,5.69,0.664
64=,64,42.447,11786,11800,11803,  M ,207525,5168104,0.44,0.051
65=,65,42.463,11804,11805,11836,  M2,231673,7632805,0.65,0.076
66=,66,42.704,11840,11881,11885,PV 7,418384,14892877,1.26,0.147
67=,67,42.772,11885,11903,11947,VB 4,780074,36270827,3.07,0.359
68=,68,43.23,12015,12048,12057,BV  ,133686,4730576,0.4,0.047
69=,69,43.351,12057,12086,12133,VB 7,1813846,85190797,7.22,0.843
70=,70,45.453,12724,12750,12769,  M10,44493,1712669,0.15,0.017
71=,71,45.698,12772,12827,12866,BV 5,4679927,258682888,21.92,2.561
72=,72,45.874,12868,12883,12895,  M5,57457,2451814,0.21,0.024
73=,73,46.045,12896,12937,12977,VB 2,675871,34254580,2.9,0.339
74=,74,46.561,13078,13100,13126,  M2,35809,1437977,0.12,0.014
75=,75,46.868,13134,13197,13219,BV  ,320145,15383416,1.3,0.152
76=,76,47.019,13219,13244,13276,VV  ,351267,18901729,1.6,0.187
77=,77,47.173,13278,13293,13316,  M ,67264,3537129,0.3,0.035
78=,78,47.345,13318,13347,13380,VV 7,343404,16837546,1.43,0.167
79=,79,47.774,13380,13483,13496,PV  ,13689495,1180333986,100,11.684
80=,80,47.872,13496,13514,13569,VB 3,1756810,70929571,6.01,0.702
81=,81,48.193,13585,13615,13638,  M4,57233,3132212,0.27,0.031
82=,82,48.333,13641,13659,13692,  M4,63709,2929373,0.25,0.029
83=,83,48.677,13741,13768,13795,  M6,104373,4363661,0.37,0.043
84=,84,49.114,13875,13906,13956,  M6,69635,3879529,0.33,0.038
85=,85,49.383,13978,13991,14014,  M7,23760,934088,0.08,0.009
86=,86,49.615,14025,14064,14110,BB  ,380712,17742921,1.5,0.176
87=,87,49.923,14121,14162,14217,BB 7,442922,21713204,1.84,0.215
88=,88,50.318,14220,14286,14326,BV 4,5198470,278676976,23.61,2.759
89=,89,50.544,14326,14358,14383,VV 2,128259,6284143,0.53,0.062
90=,90,51.125,14501,14541,14595,BB 2,287224,15007318,1.27,0.149
91=,91,51.803,14732,14755,14782,  M ,66372,2646357,0.22,0.026
92=,92,52.195,14787,14879,14932,BB 2,644922,32661727,2.77,0.323
93=,93,52.734,14937,15049,15071,BV 8,932681,56763700,4.81,0.562
94=,94,52.848,15071,15085,15116,VV 9,305618,12826910,1.09,0.127
95=,95,53.305,15180,15230,15256,BV 10,319981,13757866,1.17,0.136
96=,96,53.627,15303,15331,15343,  M5,142069,6240117,0.53,0.062
97=,97,53.709,15344,15357,15382,  M2,119641,5382309,0.46,0.053
98=,98,53.843,15386,15400,15418,  M8,49391,1512006,0.13,0.015
99=,99,54.205,15435,15514,15569,BV 7,1516880,79026547,6.7,0.782
100=,100,54.485,15569,15602,15629,VV 7,312747,17439509,1.48,0.173
101=,101,54.793,15629,15700,15719,PV  ,6737975,435870929,36.93,4.315
102=,102,55.711,15940,15990,16027,BB 3,1109715,54474920,4.62,0.539
103=,103,56.108,16046,16115,16132,BV 8,2954419,164845003,13.97,1.632
104=,104,56.3,16132,16176,16212,VV 3,9903478,617896080,52.35,6.117
105=,105,56.585,16212,16266,16311,VV 2,3515173,171261190,14.51,1.695
106=,106,56.822,16311,16340,16389,VV 2,208016,17084109,1.45,0.169
107=,107,57.11,16389,16432,16451,VV 3,187013,10859152,0.92,0.107
108=,108,57.283,16451,16486,16522,VV 4,984954,49939699,4.23,0.494
109=,109,57.472,16523,16546,16571,  M9,95904,5146905,0.44,0.051
110=,110,57.688,16573,16614,16634,VV 2,383827,18990815,1.61,0.188
111=,111,57.864,16634,16670,16697,VV 6,3456794,176052020,14.92,1.743
112=,112,58.01,16697,16716,16757,VV 10,357351,19004233,1.61,0.188
113=,113,58.243,16757,16789,16824,PB 10,123910,6836919,0.58,0.068
114=,114,58.679,16901,16927,16946,  M2,88418,3847924,0.33,0.038
115=,115,58.899,16960,16996,17039,BB 2,140583,6514830,0.55,0.064
116=,116,59.868,17226,17302,17325,BV 4,761004,37569756,3.18,0.372
117=,117,60.217,17325,17413,17448,VV 4,13044325,1067368049,90.43,10.566
118=,118,60.391,17453,17468,17494,  M2,62672,2275960,0.19,0.023
119=,119,60.745,17552,17579,17603,  M2,195340,8941913,0.76,0.089
120=,120,61.157,17679,17710,17741,BB 5,249227,11365231,0.96,0.113
121=,121,61.424,17753,17794,17827,BV 3,1286431,58226119,4.93,0.576
122=,122,61.638,17827,17862,17881,VV 5,1307431,63407634,5.37,0.628
123=,123,61.735,17881,17892,17936,VB 5,478709,19920277,1.69,0.197
124=,124,62.456,18095,18120,18145,  M5,58818,3092137,0.26,0.031
125=,125,63.85,18509,18560,18586,BV 2,1534342,78377283,6.64,0.776
126=,126,64.027,18586,18616,18653,VV 2,1683046,86500253,7.33,0.856
127=,127,64.247,18653,18686,18716,VB 8,187482,9071533,0.77,0.09
128=,128,64.571,18743,18788,18813,BV 7,157161,7828881,0.66,0.077
129=,129,64.752,18813,18845,18877,VV 7,821564,38016944,3.22,0.376
130=,130,64.919,18879,18898,18942,  M2,86778,5124319,0.43,0.051
131=,131,65.821,19052,19182,19266,BB 2,11137130,1074711358,91.05,10.639
132=,132,66.25,19275,19318,19357,BB 5,516854,24096918,2.04,0.239
133=,133,66.963,19494,19543,19576,BB 2,698561,31670219,2.68,0.314
134=,134,67.218,19592,19624,19656,BB 2,552972,25277816,2.14,0.25
135=,135,67.675,19720,19768,19820,BB 2,868765,42296680,3.58,0.419
136=,136,68.233,19897,19944,19979,BV 2,836196,39938697,3.38,0.395
137=,137,72.872,21350,21410,21461,BB 5,2094771,103315226,8.75,1.023
138=,138,79.7,23520,23566,23604,BB 2,159348,8538562,0.72,0.085
