[contents],,,,,,,
count=1,,,,,,,
Name=,D:\晓善\芬畅数据处理\P0104_02.D,,,,,,
1=,PBM 顶点,,,,,,
[PBM 顶点],,,,,,,
Time=,Fri May 28 11:31:06 2021,,,,,,
Header=,PK,保留时间,面积百分比,Library/ID,CAS,匹配度,
87=,87,44.285 ,0.059 ,(-)-5-Epiprezizaene $$ (-)-PREZIZAENE,060410-32-4,95,
88=,88,44.593 ,0.087 ,khusimene,000935-28-4,80,
,,44.684 ,0.014 ,alpha-Humulene,006753-98-6,81,
89=,89,44.866 ,0.049 ,柏木烯alpha-cedrene,000469-61-4,78,
90=,90,45.094 ,0.026 ,rotundene,998194-24-0,96,
,,45.395 ,0.006 ,"Phenol, (1,1-dimethylethyl)-4-methoxy- (CAS) $$ Butylated hydroxyanisole $$ BHA",025013-16-5,80,
,,45.468 ,0.030 ,"1-Chloroundecane $$ n-Undecyl chloride $$ Undecane, 1-chloro-",002473-03-2,,???
,,45.746 ,3.683 ,1-Undecanol,000112-42-5,90,
91=,91,45.759 ,0.842 ,Isomethyl ionone,000127-51-5,92,
92=,92,45.903 ,0.046 ,Isomethyl ionone,000127-51-5,92,
93=,93,46.008 ,0.033 ,1-Undecanol,000112-42-5,90,
94=,94,46.255 ,0.202 ,Muurolene<alpha->,031983-22-9,90,
96=,96,46.550 ,0.077 ,"1,4-Methano-1H-indene, octahydro-4-methyl-8-methylene-7-(1-methylethyl)-, [1S-(1",003650-28-0,80,
,,46.747 ,0.068 ,Cyclododecanone,000830-13-7,90,
97=,97,46.769 ,0.135 ,"9,10-DEHYDRO-ISOLONGIFOLENE",000000-00-0,70,
,,46.867 ,0.034 ,CADINENE,000000-00-0,80,
98=,98,46.877 ,0.038 ,2-Methyl-.beta.-ionone $$ .beta.-Methylionone,000079-70-9,70,
99=,99,47.017 ,0.052 ,gamma-Muurolene,031983-22-9,91,
100=,100,47.150 ,0.206 ,Myristicin,000607-91-0,98,
101=,101,47.318 ,0.018 ,gamma-Muurolene,031983-22-9,76,
,,47.432 ,0.019 ,"Caryophyllene-(I1) $$ 2,6,10,10-Tetramethylbicyclo[7.2.0]undeca-1,6-diene #",998193-34-8,70,
102=,102,47.521 ,0.476 ,BHT,000128-37-0,98,
,,47.328 ,0.014 ,(.+-.)-2-Methyl-6-p-tolyl-4-heptanol (diastereoisomer I),998238-16-4,70,
103=,103,47.838 ,0.133 ,alpha-Methyl ionone,000127-42-4,97,
,,48.095 ,0.011 ,"Benzene, 1-(1,5-dimethyl-4-hexenyl)-4-methyl- (CAS) $$ ar-Curcumene",000644-30-4,70,
104=,104,48.117 ,0.031 ,Tetradecane $$ n-Tetradecane,000629-59-4,70,
105=,105,48.343 ,0.012 ,Calamenene<Cis->,000483-77-2,80,
106=,106,48.524 ,0.016 ,"UNKNOWN FROM LIME OIL $$ 1-METHYL-4-(1,5-DIMETHYL-4-HEXENYLIDENE)-1-CYCLOHEXENE",000495-62-5,70,
107=,107,48.685 ,0.098 ,Cadinene,000483-76-1,90,
109=,109,49.136 ,0.355 ,Elemicin,000487-11-6,98,
110=,110,49.393 ,1.698 ,Aldehyde C12(Dodecanal),000112-54-9,72,
,,49.432 ,0.038 ,"CALACORENE 甜旗烯    $$ 1,1,6-trimethyl-1,2-dihydro naphthalene",000000-00-0,80,
111=,111,49.834 ,0.523 ,Elemol,000639-99-6,95,
112=,112,49.996 ,0.092 ,"Cyclododecanone, 2-methyl- (CAS) $$ 2-Methylcyclododecanone",016837-94-8,98,
113=,113,50.332 ,0.053 ,"8,9-DEHYDRO-NEOISOLONGIFOLENE",000000-00-0,89,
114=,114,50.665 ,0.022 ,"2-Naphthalenemethanol, decahydro-.alpha.,.alpha.,4a-trimethyl-8-methylene-, [2R-",000473-15-4,72,
115=,115,50.763 ,0.007 ,"Cyclopentane, (2-methylpropyl)- $$ Cyclopentane, isobutyl-",003788-32-7,37,
,,50.897 ,0.010 ,Lactarochromal,000000-00-0,70,
116=,116,50.897 ,0.010 ,".alpha.-selinene $$ EUDESMA-3,11-DIENE",000473-13-2,43,
117=,117,51.125 ,0.017 ,beta-Methyl ionone,000127-43-5,78,
118=,118,51.601 ,0.177 ,Dodecanoic acid,000143-07-7,98,
,,51.629 ,0.020 ,氧化石竹烯CARYOPHYLLENE OXIDE,001139-30-6,80,
119=,119,51.893 ,0.018 ,khusimone,998192-85-3,93,
120=,120,52.156 ,0.020 ,6-(t-Butyl)indane-4-carbaldehyde,998187-79-8,50,
121=,121,52.362 ,0.009 ,1-Octadecanol (CAS) $$ Stenol $$ Sipol S $$ Stearol $$ Lanol S $$ Aldol 62,000112-92-5,43,
122=,122,52.480 ,0.010 ,.gamma.-Muurolene,030021-74-0,70,
124=,124,53.089 ,0.013 ,"9-Octadecen-1-ol, (Z)- (CAS) $$ cis-9-Octadecen-1-ol $$ Oleol $$ Satol $$ Ocenol",000143-28-2,50,
125=,125,53.387 ,0.035 ,"PATCHOULENONE $$ 1,4,9,9-Tetramethyl-hexahydro-4H-3a,7-methanoazulen-8-one",998232-56-8,72,
126=,126,53.927 ,0.175 ,ε-十五内酯;十五内酯 OMEGA.-PENTADECANOLIDE,000106-02-5,76,
127=,127,54.475 ,0.364 ,Kharismal (cis-MDJ peak1),000000-00-0,98,
128=,128,55.367 ,25.137 ,Kharismal (cis-MDJ peak1),000000-00-0,98,
129=,129,55.703 ,0.073 ,Dihydro methyl jasmonate $$ METHYLDIHYDROJASMONATE $$ Methyl dihydrojasmonate,024851-98-7,53,
130=,130,55.979 ,0.044 ,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",024851-98-7,70,
131=,131,56.256 ,0.706 ,Cis-3-hexenyl salicylate,000000-00-0,81,
,,56.268 ,0.527 ,Kharismal (cis-MDJ .peak2),000000-00-0,97,
132=,132,56.474 ,2.063 ,Kharismal (cis-MDJ .peak2),000000-00-0,97,
133=,133,57.112 ,0.054 ,Kharismal (cis-MDJ peak1),000000-00-0,76,
134=,134,57.455 ,0.602 ,十六醇1-Hexadecanol (CAS) $$ Cetal $$ Ethal $$ Ethol $$ Cetanol $$ Cetylol $$,036653-82-4,91,
135=,135,57.832 ,0.024 ,二氢茉莉酮酸甲酯Methyl dihydrojasmonate $$ C,024851-98-7,64,
137=,137,59.596 ,0.599 ,"Ethanol, 2-(octadecyloxy)- (CAS) $$ 2-OCTADECYLOXY ETHANOL",002136-72-3,68,
138=,138,60.453 ,19.904 ,Boisambrene forte,058567-11-6,99,
,,60.465 ,0.085 ,Benzyl Benzoate,000120-51-4,90,
139=,139,60.570 ,0.228 ,乙氧基环十二烷氧基甲烷Formaldehyde cyclododecyl ethyl acetal$Boisambrene forte,058567-11-6,72,
140=,140,61.455 ,1.740 ,Synambram(6),000000-00-0,91,
145=,145,63.676 ,0.260 ,Ethylhexyl salicylate,000118-60-5,99,
146=,146,63.790 ,0.032 ,"Bicyclo[7.2.0]undecane, 10,10-dimethyl-2,6-bis(methylene)-, [1S-(1R*,9S*)]-",136296-38-3,70,
147=,147,63.974 ,0.031 ,Trimofix O<peak1>,068610-78-6,78,
148=,148,64.431 ,0.068 ,(+)-Aromadendrene,000489-39-4,38,
149=,149,64.628 ,0.120 ,Octadecane (CAS) $$ n-Octadecane $$ Octadecan $$ n - octadecane $$ AI3-06523,000593-45-3,91,
,,64.629 ,0.097 ,ACETYLCEDRENE $$ VERTOFIX PEAK 1 $$ ACETYL CEDRENE,000000-00-0,70,
150=,150,64.739 ,0.064 ,"Benzene, 1,2,4,5-tetrakis(1-methylethyl)- $$ Benzene, 1,2,4,5-tetraisopropyl-",000635-11-0,60,
151=,151,64.955 ,0.662 ,Trimofix O<peak1>,068610-78-6,99,
,,65.339 ,0.057 ,Trimofix O<peak1>,068610-78-6,99,
152=,152,65.373 ,0.060 ,9-Dimethylaminoanthracene-2-carbonitrile,998313-46-8,83,
153=,153,65.567 ,0.058 ,Trimofix O<peak1>,068610-78-6,78,
154=,154,65.678 ,0.013 ,"9,19-Cyclolanostan-3-ol, acetate, (3.beta.)-",004575-74-0,59,
155=,155,65.824 ,0.175 ,Trimofix O<peak1>,068610-78-6,99,
156=,156,66.043 ,0.026 ,Trimofix O<peak1>,068610-78-6,99,
157=,157,66.243 ,0.081 ,乙酰基环十二烯；舒牟馥；Methylcyclododecenylketone;Acetylcyclododecen,000000-00-0,64,
,,66.310 ,0.010 ,trans-Z-.alpha.-Bisabolene epoxide,998238-30-2,,
158=,158,66.557 ,0.023 ,"1,5-Diacetyl-4-methyl-1,3,4,5-tetrahydro-2H-1,5-benzodiazepine",998312-37-3,50,
159=,159,66.728 ,0.018 ,Trimonfix O(<peak3>,068610-78-6,74,
160=,160,66.931 ,0.030 ,(+)-CALARENE OR (+)-.BETA.-GURJUNENE $$ (+)-BETA-GURJUNEN (CALAREN),998193-99-2,83,
161=,161,67.137 ,0.241 ,Trimonfix O(<peak3>,068610-78-6,76,
,,67.192 ,0.010 ,"1-(Trimethylsilyl)-8-phenyl-1,3,5,7-octatetrayne",998313-50-2,70,
162=,162,67.420 ,0.026 ,Trimonfix O(<peak3>,068610-78-6,76,
163=,163,67.750 ,0.018 ,1-十七醇$ n-Heptadecanol $$ Heptadecyl alcohol $$ Heptadecan-1-ol,001454-85-9,87,
164=,164,69.634 ,0.024 ,"Sulfurous acid, octadecyl 2-propyl ester",998637-92-9,72,
166=,166,72.699 ,0.007 ,"Dodecane, 1,1'-oxybis- (CAS) $$ DIDODECANE ETHER $$ DI-N-DODECYL ETHER",004542-57-8,47,
167=,167,73.007 ,2.070 ,Musk T,000105-95-3,99,
168=,168,74.346 ,0.007 ,"Hexadecane, 2-methyl- (CAS) $$ 2-Methylhexadecane $$ 15-Methylhexadecane",001560-92-5,72,
169=,169,78.886 ,0.005 ,Pentadecane (CAS) $$ n-Pentadecane $$ CH3(CH2)13CH3 $$ .n - penta - decane,000629-62-9,72,
